yingluck won 296 votes in the nearly 500 - member parliament . ||| یینگلاک 296 رای در پارلمان تقریبا 500 عضوی به دست آورد . 
china has welcomed the eu summit consensus , whose main elements include a 50 % reduction in the value of greek government bonds , steps recapitalize european banks and plans to attract capital for the already overburdened european financial stability facility rescue fund , in order to reduce greek debt from the current astronomical 160 % of its current economy to 120 % of total economic output over the next 10 years . ||| چین از اجماع اجلاس اتحادیه اروپا استقبال کرده است که عناصر اصلی آن شامل کاهش 50 درصدی ارزش اوراق قرضه دولتی یونان، گام‌های افزایش سرمایه بانک‌های اروپایی و برنامه‌هایی برای جذب سرمایه برای صندوق نجات تسهیلات ثبات مالی اروپا است که در حال حاضر بیش از حد سنگین است، به منظور کاهش بدهی یونان . از 160 درصد اقتصاد فعلی نجومی فعلی به 120 درصد کل تولید اقتصادی در 10 سال آینده . 
we believe that , as the largest economy in the world , the steady , sound , and healthy growth of the eu economy and the eurozone is vital to the world economy 's recovery , foreign ministry spokeswoman jiang yu said at a regular press briefing on thursday . ||| جیانگ یو سخنگوی وزارت امور خارجه روز پنجشنبه در یک نشست مطبوعاتی منظم گفت که ما معتقدیم که به عنوان بزرگترین اقتصاد جهان، رشد پایدار، سالم و سالم اقتصاد اتحادیه اروپا و منطقه یورو برای بهبود اقتصاد جهانی حیاتی است . . 
we are also ready to work with the eu to overcome the difficulty . ||| ما همچنین آماده همکاری با اتحادیه اروپا برای غلبه بر مشکلات هستیم . 
but chinese support would depend on europe 's ability to guarantee the safety of any investment , li daokui , a member of china 's central bank monetary policy committee , told the financial times . it is in china 's long - term and intrinsic interest to help europe because they are our biggest trading partner but the chief concern of the chinese government is how to explain this decision to our own people , li said . ||| لی دائوکویی، یکی از اعضای کمیته سیاست پولی بانک مرکزی چین، به مالی تایمز گفت، اما حمایت چین به توانایی اروپا برای تضمین امنیت هر سرمایه گذاری بستگی دارد . لی گفت که این به نفع بلندمدت و ذاتی چین است که به اروپا کمک کند زیرا آنها بزرگترین شریک تجاری ما هستند اما نگرانی اصلی دولت چین این است که چگونه این تصمیم را برای مردم خود توضیح دهیم . 
europe hopes to attract capital from sovereign wealth funds , particularly from developing nations like china and russia , to supplement the 440 billion rescue fund , but analysts note that the structure of these investments remains unknown . ||| اروپا امیدوار است که از صندوق های ثروت دولتی، به ویژه از کشورهای در حال توسعه مانند چین و روسیه، برای تکمیل صندوق نجات 440 میلیاردی، سرمایه جذب کند، اما تحلیلگران خاطرنشان می کنند که ساختار این سرمایه گذاری ها ناشناخته است . 
in a phone conversation with sarkozy on thursday , chinese president hu jintao made no mention of specific plans to invest in the scheme , but lauded europe 's progress in solving the debt crisis . ||| هو جینتائو رئیس جمهور چین در گفتگوی تلفنی با سارکوزی در روز پنجشنبه هیچ اشاره ای به برنامه های خاصی برای سرمایه گذاری در این طرح نکرد، اما پیشرفت اروپا در حل بحران بدهی را ستود . 
we 've been fighting the muslim brotherhood since the 1950s and we are still fighting with them , he said . ||| او گفت که ما از دهه 1950 با اخوان المسلمین می جنگیم و هنوز هم با آنها می جنگیم . 
the latest statement from un secretary - general ban ki - moon said mr assad must respond to demands for change with serious reform , not repression and violence , and called for an immediate halt to military operations . ||| در آخرین بیانیه بان کی مون دبیر کل سازمان ملل آمده است که آقای اسد باید با اصلاحات جدی و نه سرکوب و خشونت به خواسته های تغییر پاسخ دهد و خواستار توقف فوری عملیات نظامی شد . 
the league 's ministerial committee on the syrian crisis also urged damascus to take the necessary measures to protect civilians . ||| کمیته وزیران اتحادیه در مورد بحران سوریه همچنین از دمشق خواست تا اقدامات لازم را برای محافظت از غیرنظامیان اتخاذ کند . 
on saturday , two of the country 's main activist groups , the british - based syrian observatory for human rights and the local co - ordinating committees , said shells slammed into the baba amr district of homs . ||| روز شنبه، دو گروه از فعالان اصلی کشور، دیده بان حقوق بشر سوریه مستقر در بریتانیا و کمیته های هماهنگ کننده محلی، گفتند که گلوله ها به منطقه بابا امر حمص اصابت کردند . 
reuters news agency reported one person was shot dead by a sniper and two were killed during machinegun fire between mr assad 's forces and defectors in the city . ||| خبرگزاری رویترز گزارش داد که در جریان تیراندازی با مسلسل بین نیروهای آقای اسد و فراریان در شهر یک نفر به ضرب گلوله تک تیرانداز کشته و دو نفر کشته شدند . 
in a separate incident , 10 security agents and a deserter were killed in a bus ambush near the turkish border , afp reported , quoting activists . ||| به گزارش خبرگزاری فرانسه به نقل از فعالان، در یک حادثه جداگانه 10 مامور امنیتی و یک فراری در کمین اتوبوس در نزدیکی مرز ترکیه کشته شدند . 
apple 's filing , entitled real time video process control using gestures , describes controlling images on a device , such as an iphone , without touching it , and the ability to transfer the pictures to one of the firm 's other products using contact - free hand movements . ||| پرونده اپل با عنوان کنترل فرآیند ویدیویی در زمان واقعی با استفاده از ژست‌ها، کنترل تصاویر روی دستگاهی مانند آیفون، بدون دست زدن به آن و توانایی انتقال تصاویر به یکی از محصولات دیگر شرکت با استفاده از تماس بدون تماس را توصیف می‌کند . حرکات دست . 
say you 're browsing a tv app on your phone and you found a programme you wanted to record , you could literally - just with a wave - take that programme and throw it to the other device using a gesture rather than using a bluetooth or cable connection , said mr green . ||| اگر در حال مرور یک برنامه تلویزیونی در تلفن خود هستید و برنامه‌ای را پیدا کرده‌اید که می‌خواهید ضبط کنید، می‌توانید به معنای واقعی کلمه - فقط با یک موج - آن برنامه را بردارید و با استفاده از یک حرکت حرکتی به جای استفاده از بلوتوث یا کابل، آن را به دستگاه دیگر پرتاب کنید . آقای سبز گفت : اتصال . 
that aspect potentially has some enterprise applications in terms of computer - aided design but it 's still very expensive . ||| این جنبه به طور بالقوه دارای برخی از برنامه های کاربردی سازمانی از نظر طراحی به کمک رایانه است اما هنوز بسیار گران است . 
it has also badly hurt corzine 's business image , and reduced the former new jersey governor 's chances of ever making a political comeback . ||| همچنین به شدت به وجهه تجاری کورزین لطمه زد و شانس فرماندار سابق نیوجرسی را برای بازگشت سیاسی کاهش داد . 
mf global 's fate has raised questions about whether the 64 - year - old corzine 's affinity for risk - taking has finally caught up to him after a career that took him to the top echelons of wall street and then into politics as a u.s. senator and to the new jersey state governor 's mansion . ||| سرنوشت mf global این پرسش را مطرح کرده است که آیا تمایل این کورزین ۶۴ ساله به ریسک‌پذیری سرانجام پس از حرفه‌ای که او را به رده‌های بالای وال استریت و سپس وارد سیاست به‌عنوان ما کرد، به او رسیده است . سناتور و به عمارت فرماندار ایالت نیوجرسی . 
they point to goldman sachs major trading losses under his watch in 1994 , or when he sustained serious injuries in 2007 as a passenger in a speeding sports utility vehicle while not wearing a seatbelt . ||| آنها به ضررهای عمده تجارت گلدمن ساکس زیر نظر او در سال 1994 اشاره می کنند، یا زمانی که در سال 2007 به عنوان مسافر در یک وسیله نقلیه ورزشی با سرعت بالا در حالی که کمربند ایمنی نبسته بود، آسیب جدی دید . 
the business model is n't what it used to be , said patrick arbor , a former chairman of the chicago board of trade and a long - time executive of a clearing broker . ||| پاتریک آربور، رئیس سابق هیئت تجارت شیکاگو و مدیر قدیمی یک کارگزار تسویه، گفت که مدل کسب و کار آن چیزی نیست که قبلا بود . 
in an environment with limited capital and limited distribution , the game is about singles and doubles , because if you go for a home run and miss , you might not live to play another day , said one mf trader who worked before and during corzine 's reign . ||| در محیطی با سرمایه محدود و توزیع محدود، بازی در مورد انفرادی و دونفره است، زیرا اگر برای یک هوم ران بروید و از دست بدهید، ممکن است زنده نمانید تا یک روز دیگر بازی کنید . سلطنت . 
as of october 25 , the company had about $ 6.3 billion of european sovereign debt from some of the euro zone 's more peripheral and troubled countries , including italy , spain , portugal , ireland and belgium , though not greece . ||| تا 25 اکتبر، این شرکت حدود 6 . 3 میلیارد دلار بدهی مستقل اروپایی از برخی از کشورهای پیرامونی و مشکل دار منطقه یورو از جمله ایتالیا، اسپانیا، پرتغال، ایرلند و بلژیک داشت، البته نه یونان . 
even a 1 percent decline could leave it dangerously undercapitalized . ||| حتی کاهش 1 درصدی می تواند آن را به طور خطرناکی کم سرمایه کند . 
in its most recently quarterly presentation last week , it argued it had low levels of illiquid assets , known as level 3 assets . ||| در آخرین ارائه سه ماهه خود در هفته گذشته، استدلال کرد که دارای سطوح پایینی از دارایی های غیر نقدشونده است که به عنوان دارایی های سطح 3 شناخته می شود . 
i ca n't speak to mf global , but if he applied the same process there as he did when was conducting the affairs of government , i have to say he is a thoughtful , careful and prudent businessperson , said steven goldman , who served as corzine 's commissioner of banking and insurance in new jersey from 2006 to 2009 and is now a partner at law firm kramer levin naftalis & frankel . ||| استیون گلدمن گفت که من نمی توانم با mf global صحبت کنم، اما اگر او همان روندی را که در زمان انجام امور دولتی انجام می داد در آنجا اعمال کرد، باید بگویم که او یک تاجر متفکر، دقیق و محتاط است . کمیسر بانک و بیمه کورزین در نیوجرسی از سال 2006 تا 2009 و اکنون شریک شرکت حقوقی کرامر لوین نفتالیس و فرانکل است . 
he lost his campaign for reelection in 2009 to republican chris christie and a few months later answered the call from flowers , whose private equity firm j.c. flowers had invested $ 300 million in mf global in 2008 , and joined the firm . ||| او مبارزات انتخاباتی خود را برای انتخاب مجدد در سال 2009 به کریس کریستی جمهوری خواه باخت و چند ماه بعد به تماس گل ها که شرکت سهام خصوصی آن jc flowers در سال 2008 300 میلیون دلار در mf global سرمایه گذاری کرده بود، پاسخ داد و به شرکت پیوست . 
while he has many fans on wall street and beyond , some say his business and political careers are unlikely to recover from this latest blow . ||| در حالی که او طرفداران زیادی در وال استریت و فراتر از آن دارد، برخی می گویند که بعید است شغل تجاری و سیاسی او از این ضربه اخیر بهبود یابد . 
i think alan joyce is destroying the brand of qantas ; he 's holding the passengers for ransom as he blackmails the government of australia . ||| من فکر می کنم آلن جویس دارد برند قانتاس را از بین می برد . او در حالی که از دولت استرالیا اخاذی می کند مسافران را برای باج نگه می دارد . 
we 're conscious the australian economy has been put at great risk of damage due to the strike , shorten said . ||| شورتن گفت : ما آگاه هستیم که اقتصاد استرالیا به دلیل اعتصاب در معرض خطر بزرگی قرار گرفته است . 
joyce , a native of ireland , has been ceo of qantas since 2008 , after a five - year tenure as ceo of jetstar . ||| جویس، بومی ایرلند، از سال 2008، پس از 5 سال تصدی سمت مدیرعاملی جت استار، مدیرعامل قانتاس بوده است . 
you will remember that early in the 2008 presidential campaign , barack obama signaled that he was going to have a different foreign policy than george bush - and he chose as his example , iran . ||| به یاد دارید که در اوایل مبارزات انتخاباتی ریاست جمهوری 2008، باراک اوباما نشان داد که سیاست خارجی متفاوتی نسبت به جورج بوش خواهد داشت - و او ایران را به عنوان نمونه خود انتخاب کرد . 
well , two years into his presidency , obama 's iran policy looks a lot like george w. bush 's - pressure and more pressure . ||| خوب، دو سال پس از ریاست جمهوری او، سیاست اوباما در قبال ایران بسیار شبیه جورج دبلیو است . فشار بوش و فشار بیشتر . 
is it to overthrow the iranian regime ? ||| آیا برای سرنگونی رژیم ایران است؟
even the leaders of the green movement strongly support that program . ||| حتی رهبران جنبش سبز به شدت از آن برنامه حمایت می کنند . 
obama should return to his original approach and test the iranians to see if there is any room for dialogue and agreement . ||| اوباما باید به رویکرد اصلی خود بازگردد و ایرانی ها را آزمایش کند تا ببیند آیا جایی برای گفتگو و توافق وجود دارد یا خیر . 
it might not work - the iranian regime is divided and often paralyzed itself - but it 's worth trying . ||| ممکن است کارساز نباشد - رژیم ایران تقسیم شده و اغلب خودش را فلج کرده است - اما ارزش امتحان کردن را دارد . 
strategic engagement with an adversary can go hand in hand with a policy that encourages change in that country . ||| تعامل استراتژیک با یک دشمن می تواند همراه با سیاستی باشد که تغییر را در آن کشور تشویق می کند . 
iran is a country of 80 million people , educated and dynamic . ||| ایران کشوری 80 میلیونی، تحصیلکرده و پویا است . 
it is the last great civilization to sit outside the global order . ||| این آخرین تمدن بزرگی است که خارج از نظم جهانی قرار دارد . 
brazil 's government has loudly proclaimed a deal it says is worth $ 12 billion for taiwanese technology giant foxconn to produce ipads and build a whole new industry based around screens used in an array of consumer electronics from smartphones to televisions . ||| دولت برزیل با صدای بلند قراردادی را به ارزش 12 میلیارد دلار برای غول فناوری تایوانی فاکس کان برای تولید iPad و ایجاد یک صنعت کاملاً جدید مبتنی بر صفحه نمایش های مورد استفاده در مجموعه ای از لوازم الکترونیکی مصرفی از تلفن های هوشمند گرفته تا تلویزیون اعلام کرده است . 
last week , fareed zakaria traveled to iran to interview president mahmoud ahmadinejad . ||| هفته گذشته فرید زکریا برای مصاحبه با رئیس جمهور محمود احمدی نژاد به ایران سفر کرد . 
fareed 's trip occurred just weeks after the united states accused iran of plotting to assassinate the saudi ambassador to the u.s. and just as president obama announced the upcoming withdrawal of u.s. troops from iraq . ||| سفر فرید تنها چند هفته پس از آن صورت گرفت که ایالات متحده ایران را به توطئه برای ترور سفیر عربستان در آمریکا متهم کرد و درست زمانی که رئیس جمهور اوباما خروج نیروهای ما از عراق را اعلام کرد . 
