Salomon , Daavidin pojan , Israelin kuninkaan , sananlaskut , ||| שלמה בן דוד מלך ישראל משלי
Minun tykönäni on rikkaus ja kunnia , ikivanha varallisuus ja vanhurskaus . ||| איתי עושר וכבוד , עושר קדום וצדקה . 
Ennenkuin vuoret upotettiin paikoilleen , ennen kukkuloita , synnyin minä , ||| לפני שההרים שקעו למקומם , לפני הגבעות , נולדתי , 
Siis te , lapset , kuulkaa minua ; autuaat ne , jotka noudattavat minun teitäni ! ||| אז , ילדים , הקשיבו לי ; אשרי ההולכים בדרכי ! 
Hän on teuraansa teurastanut , viininsä sekoittanut ja myöskin pöytänsä kattanut . ||| הוא שחט את בשרו , ערבב את היין שלו וגם ערך את שולחנו . 
Hyljätkää yksinkertaisuus , niin saatte elää , ja astukaa ymmärryksen tielle . " - ||| עזוב את הפשטות , ואולי תחיה , ותכנס לדרך ההבנה . " - 
Älä nuhtele pilkkaajaa , ettei hän sinua vihaisi ; nuhtele viisasta , niin hän sinua rakastaa . ||| אל תגער בלגלג , פן ישנא אותך ; גער בחכם והוא יאהב אותך . 
Herran pelko on viisauden alku , ja Pyhimmän tunteminen on ymmärrystä . - ||| יראת ה' היא ראשית החכמה , וידע הקדוש ברוך הוא בינה . - 
Hän istuu talonsa ovella , istuimella kaupungin kummuilla , ||| הוא יושב בפתח ביתו , על מושב על גבעות העיר , 
Salomon sananlaskut . Viisas poika on isällensä iloksi , mutta tyhmä poika on äidillensä murheeksi . ||| משלי שלמה . בן חכם הוא שמחה לאביו , אבל בן טיפש הוא צער לאמו . 
Missä on paljon sanoja , siinä ei syntiä puutu ; mutta joka huulensa hillitsee , se on taitava . ||| במקום שיש הרבה מילים , לא חסר חטא ; אֲבָל הַמַּצְלִיק אֶת שְׂפָתָיו מְכַשֵּׁר . 
Herran pelko elinpäiviä jatkaa , mutta jumalattomien vuodet lyhenevät . ||| יראת ה' מאריכה חיים , אבל שנות הרשעים מתקצרות . 
Missä ohjausta ei ole , sortuu kansa , mutta neuvonantajain runsaus tuo menestyksen . ||| איפה שאין הדרכה , האומה קורסת , אבל שפע של יועצים מביא להצלחה . 
Joka hyvään pyrkii , etsii sitä , mikä otollista on , mutta joka pahaa etsii , sille se tulee . ||| מי ששואף לטוב מחפש את המקובל , אבל מי שמחפש את הרע ימצא אותו . 
Parempi halpa-arvoinen , jolla on palvelija , kuin rehentelijä , joka on vailla leipää . ||| עדיף איש זול שיש לו עבד מאשר עני שאין לו לחם . 
Hullun tie on hänen omissa silmissään oikea , mutta joka neuvoa kuulee , on viisas . ||| דרכו של שוטה ישרה בעיניו , אבל השומע לעצות חכם . 
Vanhurskas vihaa valhepuhetta , mutta jumalattoman meno on iljettävä ja häpeällinen . ||| הצדיק שונא שקר , אבל דרך הרשעים מתועבת ומבישה . 
Toinen on olevinaan rikas , omistamatta mitään , toinen olevinaan köyhä , vaikka on tavaraa paljon . ||| אחד עשיר כמו שהוא , בלי שום דבר , השני עני כמו שהוא , למרות שיש לו הרבה דברים . 
Vanhurskasten valo loistaa iloisesti , mutta jumalattomien lamppu sammuu . ||| אורו של צדיקים מאיר באור , אבל מנורת הרשעים כבה . 
Tyydytetty halu on sielulle suloinen , pahan karttaminen tyhmille kauhistus . ||| תשוקה מסופקת מתוקה לנשמה , התרחקות מהרע היא תועבה לשוטים . 
Jumalattoman huone hävitetään , mutta oikeamielisten maja kukoistaa . ||| בית רשעים יחרב , אבל בית צדיקים יפרח . 
Syntiä tekee , joka lähimmäistään halveksii , mutta autuas se , joka kurjia armahtaa ! ||| המבזה את חברו חוטא , אבל אשרי המרחם על העניים ! 
Eivätkö eksy ne , jotka hankitsevat pahaa ? Mutta armo ja totuus niille , jotka hankitsevat hyvää ! ||| האם המחפשים את הרע לא הולכים שולל ? אבל רחמים ואמת למי שרוכש טוב ! 
Uskollinen todistaja on hengen pelastaja , mutta joka valheita puhuu , on petosta täynnä . ||| עד נאמן הוא גואל חיים , אבל המדבר שקר מלא רמאות . 
Jumalaton sortuu omaan pahuuteensa , mutta vanhurskas on turvattu kuollessaan . ||| הרשע נופל לרשעתו , אבל הצדיק נושע כשהוא מת . 
Pilkkaaja ei pidä siitä , että häntä nuhdellaan ; viisasten luo hän ei mene . ||| מלגלג אינו אוהב שנוכחים בו ; הוא לא הולך לחכמים . 
Ymmärtäväisen sydän etsii tietoa , mutta tyhmien suu hulluutta suosii . ||| לב הבינה מחפש ידע , אבל פי שוטים מעדיף איוולת . 
Väärän voiton pyytäjä hävittää huoneensa , mutta joka lahjuksia vihaa , saa elää . ||| המבקש רווח כוזב יהרוס את ביתו , אבל השונא שוחד יחיה . 
Valoisa silmänluonti ilahuttaa sydämen ; hyvä sanoma tuo ydintä luihin . ||| עיניים בהירות משמחות את הלב ; חדשות טובות מביאות מוח לעצמות . 
Ihmisen sydän aivoittelee hänen tiensä , mutta Herra ohjaa hänen askeleensa . ||| לבו של אדם מתכנן את דרכו , אבל ה' מכוון את צעדיו . 
Parempi kultaa on hankkia viisautta , kalliimpi hopeata hankkia ymmärrystä . ||| עדיף מזהב לרכוש חוכמה , יקר יותר מכסף לרכוש בינה . 
Parempi alavana nöyrien parissa kuin jakamassa saalista ylpeitten kanssa . ||| עדיף להיות נמוך בין הצנועים מאשר לחלוק את השלל עם הגאים . 
Jolla on viisas sydän , sitä ymmärtäväiseksi sanotaan , ja huulten suloisuus antaa opetukselle tehoa . ||| מי שיש לו לב חכם נקרא בינה , ומתיקות שפתיים נותנת כח להוראה . 
Ystävä rakastaa ainiaan ja veli syntyy varaksi hädässä . ||| חבר אוהב לנצח ואח נולד כגיבוי בשעת צרה . 
Terveydeksi on iloinen sydän , mutta murtunut mieli kuivuttaa luut . ||| בריאות היא לב שמח , אבל מוח שבור מייבש את העצמות . 
Tyhmä poika on isällensä suruksi ja synnyttäjällensä mielihaikeaksi . ||| בן טיפש הוא צער לאביו ותענוג לאביו . 
Hullukin käy viisaasta , jos vaiti on ; joka huulensa sulkee , on ymmärtäväinen . ||| אפילו שוטה חכם אם הוא שותק ; מי שסוגר את שפתיו הוא מבין . 
Tyhmän huulet tuovat mukanaan riidan , ja hänen suunsa kutsuu lyöntejä . ||| שפתיו של שוטה מביאות ריב , ופיו מזמין מכות . 
Joka vaimon löysi , se onnen löysi , sai Herralta mielisuosion . ||| מי שמצא אישה , מצא אושר , קיבל חסד מהאדון . 
Köyhä puhuu pyydellen , mutta rikas vastaa tylysti . ||| העני מדבר בתחינה , אבל העשיר עונה בבוטות . 
Joka käskyt pitää , saa henkensä pitää ; joka ei teistänsä välitä , on kuoleman oma . ||| כל המקיים מצוות ישמור את חייו ; מי שלא דואג לעצמו הוא ממוות . 
Kurita poikaasi , kun vielä toivoa on ; ethän halunne hänen kuolemaansa . ||| משמעת בנך כל עוד יש תקווה ; אתה לא רוצה שהוא ימות . 
Joka isäänsä pahoin pitelee ja ajaa äitinsä pois , se on kunnoton ja rietas poika . ||| מי שמתעלל באביו ומגרש את אמו הוא בן פסול ומורד . 
Vanhurskas vaeltaa nuhteettomasti , onnelliset ovat lapset hänen jälkeensä . ||| הצדיק הולך ללא תמים , שמחים הילדים אחריו . 
Kuka voi sanoa : " Olen puhdistanut sydämeni , olen puhdas synnistäni " ? ||| מי יכול לומר : " ניקיתי את לבי , נקי מחטאי " ? 
Kahtalainen paino ja kahtalainen mitta - molemmat ovat Herralle kauhistus . ||| משקל כפול ומידה כפולה - שניהם תועבה לה' . 
Älä sano : " Minä kostan pahan " ; odota Herraa , hän auttaa sinua . ||| אל תאמר : " אנקום ברשע " ; חכה לה' , הוא יעזור לך . 
Herralta tulevat miehen askeleet ; mitäpä ymmärtäisi tiestänsä ihminen itse ? ||| מאת ה' באים צעדי אדם ; מה יבין אדם בעצמו על דרכו ? 
Ylpeät silmät ja pöyhkeä sydän - jumalattomien lamppu - ovat syntiä . ||| עיניים מתנשאות ולב מתנשא - מנורת הרשעים - הם חטאים . 
Rikollisen tie on mutkainen , mutta puhtaan teot ovat oikeat . ||| דרכו של הפושע עקומה , אך מעשי הטהורים נכונים . 
Ihminen , joka eksyy taidon tieltä , joutuu lepäämään haamujen seuraan . ||| אדם שסטה מדרך המיומנות צריך לנוח בחברת רוחות רפאים . 
Puutteen mieheksi päätyy riemujen rakastaja , eikä rikastu se , joka viiniä ja öljyä rakastaa . ||| חובב תענוגות מסתיים כאיש חסר , ומי שאוהב יין ושמן לא מתעשר . 
Viisas ryntää sankarien kaupunkiin ja kukistaa varustuksen , joka oli sen turva . ||| החכם ממהר לעיר הגיבורים ומביס את הציוד שהיה ביטחונה . 
Valheellinen todistaja hukkuu , mutta kuunteleva mies saa aina puhua . ||| עד שקר יגווע , אבל אדם שמקשיב תמיד יורשה לדבר . 
Rikas ja köyhä kohtaavat toisensa ; Herra on luonut kumpaisenkin . ||| עשירים ועניים פוגשים זה את זה ; ה' ברא את שניהם . 
Nöyryyden ja Herran pelon palkka on rikkaus , kunnia ja elämä . ||| שכר הענווה ויראת ה' הוא עושר , כבוד וחיים . 
Rikas hallitsee köyhiä , ja velallinen joutuu velkojan orjaksi . ||| העשיר שולט בעניים , והחייב הופך לעבדו של הנושה . 
Joka sydämen puhtautta rakastaa , jolla on suloiset huulet , sen ystävä on kuningas . ||| מי שאוהב טהרת הלב , שיש לו שפתיים מתוקות , חברו מלך . 
Jollei sinulla ole , millä maksaa , mitäs muuta , kuin viedään vuode altasi ! ||| אם אין לך על מה לשלם , מה עוד מלבד להוציא את המיטה מתחתיך ! 
Älä siirrä ikivanhaa rajaa , jonka esi-isäsi ovat asettaneet . ||| אל תזיז את הגבול העתיק שהציבו אבותיך . 
Tuo sydämesi kuritettavaksi ja korvasi taidon sanojen ääreen . ||| הביאו את לבכם להיות ממושמע ואת אוזנכם אל דברי המיומנות . 
Älä kiellä poikaselta kuritusta , sillä jos lyöt häntä vitsalla , säästyy hän kuolemasta . ||| אל תכחיש את הנער במשמעת , כי אם תכה אותו בשוט , הוא יינצל ממוות . 
Vitsalla sinä häntä lyöt , tuonelasta hänen sielunsa pelastat . ||| אתה מכה אותו בשוט , אתה מציל את נשמתו מהגיהנום . 
niin sinulla totisesti on tulevaisuus , ja toivosi ei mene turhaan . ||| אז באמת יש לך עתיד , ותקוותך לא תהיה לשווא . 
Osta totuutta , älä myy , osta viisautta , kuria ja ymmärrystä . ||| קנה את האמת , אל תמכור , קנה חוכמה , משמעת והבנה . 
Älä katsele viiniä , kuinka se punoittaa , kuinka se maljassa hohtaa ja helposti valahtaa alas . ||| אל תסתכל על היין , איך הוא הופך לאדום , איך הוא מנצנץ בכוס ונשפך בקלות . 
Taidolla täytetään kammiot , kaikkea kallista ja ihanaa tavaraa täyteen . ||| החדרים מלאים במיומנות , מלאים בכל הדברים היקרים והנפלאים . 
Jos sanot : " Katso , emme tienneet siitä " , niin ymmärtäähän asian sydänten tutkija ; sinun sielusi vartioitsija sen tietää , ja hän kostaa ihmiselle hänen tekojensa mukaan . ||| אם תאמר " תראה , על זה לא ידענו " , אז יבין בוחן הלבבות ; שומר נפשך יודע זאת , והוא ינקום באדם על פי מעשיו . 
Samankaltaiseksi tunne viisaus sielullesi ; jos sen löydät , on sinulla tulevaisuus , ja toivosi ei mene turhaan . ||| כמו חכמים הרגש חוכמה לנפשך ; אם תמצא אותו , יש לך עתיד , ותקוותך לא תהיה לשווא . 
Älä iloitse vihamiehesi langetessa , älköön sydämesi riemuitko hänen suistuessaan kumoon , ||| אל תשמח כשיפול אויבך , אל תשמח לבבך כשהוא מופל , 
Sillä ei ole pahalla tulevaisuutta ; jumalattomien lamppu sammuu . ||| אין לו עתיד ברוע ; מנורת הרשעים כבה . 
Nämäkin ovat viisaitten sanoja . Ei ole hyvä tuomitessaan henkilöön katsoa . ||| אלו גם דברי חכמים . זה לא טוב להסתכל על אדם כששופטים . 
Toimita tehtäväsi ulkona ja tee valmista pellollasi ; sitten perusta itsellesi perhe . ||| להעביר את העבודה שלך בחוץ ולסיים אותה בתחום שלך ; ואז להקים משפחה לעצמך . 
Minä kuljin laiskurin pellon ohitse , mielettömän miehen viinitarhan vieritse . ||| עברתי ליד שדה העצלן , ליד כרם המשוגע . 
Ja katso : se kasvoi yltänsä polttiaisia ; sen pinta oli nokkosten peitossa ja sen kiviaita luhistunut . ||| ותראה : הוא צמח כמו חזיז ; פני השטח שלו היו מכוסים סרפדים וגדר האבן שלו קרסה . 
Nuku vielä vähän , torku vähän , makaa vähän ristissä käsin , ||| לישון עוד קצת , לנמנם קצת , לשכב עם ידיים שלובות קצת , 
Sillä parempi on , jos sinulle sanotaan : " Käy tänne ylös " , kuin että sinut alennetaan ylhäisen edessä , jonka silmäsi olivat nähneet . ||| כי טוב שיאמרו לך " עלו לכאן " מאשר תשפילו לפני העליון אשר ראו עיניכם . 
Älä ole kärkäs käräjöimään ; muutoin sinulla ei lopulta ole , mitä tehdä , kun vastapuolesi on saattanut sinut häpeään . ||| אל תמהר להתווכח ; אחרת לא יהיה לך מה לעשות כשהיריב שלך יביש אותך . 
Riitele oma riitasi vastapuolesi kanssa , mutta toisen salaisuutta älä ilmaise . ||| תתווכח על המחלוקת שלך עם היריב שלך , אבל אל תגלה את סודו של האחר . 
Kultainen korvarengas ja hienokultainen kaulakoru ovat viisas neuvoja ynnä kuuleva korva . ||| עגיל זהב ושרשרת זהב משובח הם אוזן נבונה לעצה ואוזן קשבת . 
Nuija ja miekka ja terävä nuoli on mies , joka väärin todistaa lähimmäistänsä vastaan . ||| מועדון וחרב וחץ חד הוא אדם המעיד עדות שקר נגד שכנו . 
Kuin sekoitettu lähde ja turmeltu kaivo on vanhurskas , joka horjuu jumalattoman edessä . ||| כמעיין מעורב ובאר מזוהם הוא הצדיק המדשדש לפני הרשע . 
Hevoselle ruoska , aasille suitset , tyhmille vitsa selkään ! ||| שוט לסוס , רסן לחמור , שוט על הגב לשוטים ! 
Ovi saranoillaan kääntyilee , laiska vuoteellansa . ||| הדלת מתנדנדת על ציריה , העצלן על מיטתו . 
Laiska on omissa silmissään viisaampi kuin seitsemän , jotka vastaavat taitavasti . ||| עצלן חכם בעיני עצמו משבעה העונים במיומנות . 
Kuin mieletön , joka ammuskelee tulisia surmannuolia , ||| כמו מטורף שיורה חיצי מוות לוהטים , 
Kehukoon sinua toinen , ei oma suusi ; vieras , eikä omat huulesi . ||| יתן אחר לשבח אותך , לא את פיך ; זר , ולא השפתיים שלך . 
Öljy ja suitsuke ilahuttavat sydämen ; samoin ystävän hellyys , alttiisti neuvoja antavainen . ||| שמן ולבונה משמחים את הלב ; כמו כן רוך של חבר , הנוטה לתת עצות . 
Joka tahtoo hänet salassa pitää , se tuulta salassa pitää , se tavoittaa öljyä oikeaan käteensä . ||| מי שרוצה לשמור אותו בסוד , שומר את הרוח בסוד , מושיט יד לשמן בידו הימנית . 
Tuonela ja horna eivät kylläänsä saa ; eivät myös saa kylläänsä ihmisen silmät . ||| טוונלה והורנה לא יכולים לקבל מספיק ; גם עיניים אנושיות לא יכולות לקבל מספיק . 
Kun heinä on mennyt ja tuore äpäre tulee näkyviin ja ruoho on koottu vuorilta , ||| כשהחציר נעלם והגבע הטרי מופיע והעשב נאסף מההרים , 
Köyhä mies , joka vaivaisia sortaa , on kuin sade , joka lyö lakoon eikä anna leipää . ||| עני המדכא את העני הוא כמו גשם מכה ואינו נותן לחם . 
Joka kartuttaa varojaan korolla ja voitolla , kokoaa niitä sille , joka vaivaisia armahtaa . ||| המגדיל את עושרו בריבית וברווח אוסף אותו למען הרחם על העניים . 
Ihmisen , jota verivelka painaa , on pakoiltava hamaan hautaan asti ; älköön häntä suojeltako . ||| אדם הכבד מחוב דם חייב לברוח לקבר ; שלא יהיה מוגן עליו . 
Joka peltonsa viljelee , saa leipää kyllin , mutta tyhjän tavoittelija saa köyhyyttä kyllin . ||| מי שמעבד את שדהו מקבל הרבה לחם , אבל מי שלא מחפש כלום מקבל הרבה עוני . 
Luotettava mies saa runsaan siunauksen , mutta jolla on kiihko rikastua , se ei rankaisematta jää . ||| אדם אמין יתברך בעושר , אבל מי שיש לו תשוקה להתעשר לא יישאר ללא עונש . 
Hallitsija , joka kuuntelee valhepuheita , saa palvelijoikseen pelkkiä jumalattomia . ||| שליט שמקשיב לשקרים מקבל רק את הרשעים כמשרתיו . 
Kun jumalattomat lisääntyvät , lisääntyy rikos , mutta vanhurskaat saavat nähdä , kuinka he kukistuvat . ||| כשהרשעים מתרבים , הפשע מתגבר , אבל הצדיקים יראו איך הם נופלים . 
Joka käy osille varkaan kanssa , se sieluansa vihaa ; hän kuulee vannotuksen , mutta ei ilmaise mitään . ||| הנפרד מגנב שונא את נפשו ; הוא שומע את הקללות , אבל לא אומר דבר . 
Aagurin , Jaaken pojan , sanat ; lauselma . Näin puhuu se mies : Minä olen väsyttänyt itseni , Jumala ; olen väsyttänyt itseni , Jumala , ja menehdyn . ||| דברי עגור , בנו של ג'אקה ; הצהרה . כך מדבר האיש : עייפתי , אלוהים ; עייפתי את עצמי , אלוהים , ואני מת . 
Älä kieli palvelijasta hänen herrallensa ; muutoin hän sinut kiroaa , ja sinä saat siitä kärsiä . ||| אל תדבר על עבד אל אדוניו ; אחרת הוא יקלל אותך , ואתה תסבול על זה . 
Voi sukua , joka isäänsä kiroaa eikä siunaa äitiänsä ; ||| אוי למשפחה המקללת את אביה ואינה מברכת את אמה ; 
Verenimijällä on kaksi tytärtä : Anna vielä ! Anna vielä ! Kolme on , jotka eivät kylläänsä saa , neljä , jotka eivät sano : " Jo riittää " : ||| למוצץ הדם יש שתי בנות : תן לי עוד ! תן לי עוד ! יש שלושה שלא יכולים לקבל מספיק , ארבעה שלא אומרים : " די כבר " : 
Joka isäänsä pilkkaa ja pitää halpana totella äitiänsä , häneltä korpit puron luona hakkaavat silmän , ja kotkan poikaset syövät sen . ||| מי שלעג לאביו ויחשוב שזול לציית לאמו , העורבים שליד הנחל ינקרו את עינו , ואפרוחי הנשר יאכלו אותו . 
kotkan jäljet taivaalla , käärmeen jäljet kalliolla , laivan jäljet keskellä merta ja miehen jäljet nuoren naisen tykönä . ||| עקבות של נשר בשמיים , עקבות של נחש על סלע , עקבות של ספינה בלב ים ועקבות של גבר ליד אישה צעירה . 
Samoin ovat avionrikkoja-vaimon jäljet ; hän syö , pyyhkii suunsa ja sanoo : " En ole pahaa tehnyt " . ||| כך גם עקבותיה של האישה הנואפת ; הוא אוכל , מנגב את פיו ואומר : " לא עשיתי שום עוול " . 
tamaanit ovat heikko kansa , mutta he laittavat majansa kallioihin ; ||| הטמאנים הם עם חלש , אבל הם שמים את בתיהם בסלעים ; 
Mitä , poikani ; mitä , kohtuni poika ; mitä , lupausteni poika ? ||| מה , בני ; מה , בן רחמי ; מה , בן ההבטחות שלי ? 
Muutoin hän juodessaan unhottaa , mitä säädetty on , ja vääntelee kaikkien kurjuuden lasten oikeuden . ||| אחרת , כשהוא שותה , הוא שוכח את מה שנקבע ומעוות את הזכויות של כל ילדי האומללות . 
Hän ojentaa kätensä kehrävarteen ja käyttelee värttinää kämmenissään . ||| הוא מושיט את ידו אל הציר ומשתמש בציר בכפות ידיו . 
Hän avaa kätensä kurjalle , ojentaa köyhälle molemmat kätensä . ||| הוא פותח את ידו לעני , מושיט את שתי ידיו לעני . 
Hänen poikansa nousevat ja kiittävät hänen onneansa ; hänen miehensä nousee ja ylistää häntä : ||| קמים בניו ומשבחים את מזלו הטוב ; בעלה קם ומשבח אותה : 
Herran sana , joka tuli Sefanjalle , Kuusin pojalle , joka oli Gedaljan poika , joka Amarjan poika , joka Hiskian poika , Juudan kuninkaan Joosian , Aamonin pojan , päivinä . ||| דבר ה' אשר בא אל צפניה בן כוש אשר היה בן גדליהו בן אמריה אשר היה בן חזקיהו בימי יאשיהו בן אמון מלך יהודה . . 
Totisesti minä otan kaiken pois maan pinnalta , sanoo Herra . ||| באמת אסיר הכל מעל פני האדמה , אמר ה' . 
Minä otan pois ihmiset ja eläimet , otan pois taivaan linnut ja meren kalat , viettelykset ja jumalattomat . Minä hävitän ihmiset maan pinnalta , sanoo Herra . ||| אני אקח אנשים וחיות , אקח את ציפורי השמים ואת דגי הים , את הפיתויים ואת הרשעים . אשמיד אנשים מעל פני האדמה , אמר ה' . 
Heidän rikkautensa joutuu ryöstettäväksi , ja heidän talonsa jäävät autioiksi . He ovat rakentaneet taloja , mutta eivät saa niissä asua ; ovat istuttaneet viinitarhoja , mutta eivät saa niistä viiniä juoda . ||| הונם יגזל , ובתיהם יישארו שוממים . הם בנו בתים , אך אסור להם לגור בהם ; נטעו כרמים , אבל אסור לשתות מהם יין . 
Lähellä on Herran suuri päivä , se on lähellä ja tulee sangen kiiruusti . Kuule , Herran päivä ! Silloin sankarit haikeasti huutavat . ||| יום ה' הגדול קרוב , קרוב והוא מגיע מהר מאוד . שמע , יום ה' ! ואז הגיבורים בוכים בערגה . 
pasunan ja sotahuudon päivä varustettuja kaupunkeja ja korkeita muurinkulmia vastaan . ||| יום של שופרות וקריאות מלחמה נגד ערים מבוצרות וחומות גבוהות . 
Menkää itseenne , kootkaa ajatuksenne , te häpeämätön kansa , ||| לכו לעצמכם , אספו את מחשבותיכם , אנשים חסרי בושה , 
Voi meren rannikon asukkaita , kreettien kansaa ! Herran sana on teitä vastaan , Kanaan , filistealaisten maa ; ja minä hävitän sinut asujattomaksi . ||| אוי לתושבי חוף הים , אנשי כרתים ! דבר ה' עליך , כנען , ארץ פלשתים ; ואני אפטר אותך חסר בית . 
Ja meren rannikko on oleva laitumina , joilla on paimenten vesikuoppia ja lammastarhoja . ||| וחוף הים יהיה שטחי מרעה עם בארות רועים ורועים . 
Herra on poistanut sinun tuomiosi , kääntänyt pois sinun vihollisesi . Israelin kuningas , Herra , on sinun keskelläsi . Ei tarvitse sinun enää onnettomuutta nähdä . ||| ה' הסיר את משפטך , הרחיק את אויביך . מלך ישראל ה' בקרבך . אתה לא צריך לראות את התאונה יותר . 
Mennyt on tytär Siionilta kaikki hänen kauneutensa . Hänen ruhtinaansa ovat kuin peurat , jotka eivät laidunta löydä ; he kulkivat voimattomina vainoojan edessä . ||| איננה הבת ציון כל יופיה . נסיכיו כצבאים שאינם יכולים למצוא מרעה ; הם הלכו חסרי אונים לפני הרודף . 
